[
((0.46632278084899814, 4.508017491561253, 22.130475723727844), (0.5590752313456612, 4.991412598185553, 23.000950395282707), 0.34056162628811465),
((0.5590752313456612, 4.991412598185553, 23.000950395282707), (0.6518276818423242, 5.474807704809853, 23.87142506683757), 0.3235335449737089),
((0.6518276818423242, 5.474807704809853, 23.87142506683757), (0.7445801323389872, 5.958202811434154, 24.741899738392434), 0.3235335449737089),
((0.7445801323389872, 5.958202811434154, 24.741899738392434), (0.8373325828356503, 6.441597918058454, 25.612374409947297), 0.30735686772502346),
((0.8373325828356503, 6.441597918058454, 25.612374409947297), (0.9300850333323133, 6.924993024682754, 26.48284908150216), 0.30735686772502346),
((0.9300850333323133, 6.924993024682754, 26.48284908150216), (1.0228374838289762, 7.4083881313070545, 27.353323753057023), 0.2919890243387723),
((1.0228374838289762, 7.4083881313070545, 27.353323753057023), (1.1155899343256392, 7.891783237931355, 28.223798424611886), 0.2919890243387723),
((1.1155899343256392, 7.891783237931355, 28.223798424611886), (1.2083423848223023, 8.375178344555655, 29.09427309616675), 0.27738957312183365),
((1.2083423848223023, 8.375178344555655, 29.09427309616675), (1.3010948353189653, 8.858573451179955, 29.96474776772161), 0.27738957312183365),
((1.3010948353189653, 8.858573451179955, 29.96474776772161), (1.3038068278573178, 9.296774812553632, 30.86362051287897), 0.2259355409925655),
((1.3038068278573178, 9.296774812553632, 30.86362051287897), (1.3065188203956704, 9.73497617392731, 31.76249325803633), 0.2259355409925655),
((1.3065188203956704, 9.73497617392731, 31.76249325803633), (1.2191606418179415, 10.123182764235624, 32.67991583889903), 0.20390682574579033),
((1.2191606418179415, 10.123182764235624, 32.67991583889903), (1.1318024632402124, 10.511389354543939, 33.597338419761726), 0.20390682574579033),
((1.1318024632402124, 10.511389354543939, 33.597338419761726), (0.9553312280317736, 10.84534790114602, 34.52325936255082), 0.18402591023557577),
((0.9553312280317736, 10.84534790114602, 34.52325936255082), (0.7788599928233348, 11.179306447748102, 35.44918030533991), 0.18402591023557577),
